0.000,0.000,0.000,0.000
0.001,0.000,0.000,0.048
0.002,0.000,0.000,0.096
0.003,0.000,0.000,0.144
0.004,0.000,0.000,0.192
0.005,0.000,0.000,0.240
0.006,0.000,0.000,0.288
0.007,0.000,0.000,0.336
0.008,0.000,0.000,0.384
0.009,0.000,0.000,0.432
0.010,0.000,0.000,0.480
0.011,0.000,0.000,0.528
0.012,0.000,0.000,0.576
0.013,0.000,0.000,0.624
0.014,0.000,0.000,0.672
0.015,0.001,0.075,0.720
0.016,0.001,0.071,0.767
0.017,0.001,0.068,0.815
0.018,0.001,0.065,0.863
0.019,0.001,0.062,0.911
0.020,0.001,0.059,0.959
0.021,0.001,0.056,1.007
0.022,0.002,0.053,1.055
0.023,0.002,0.051,1.102
0.024,0.002,0.048,1.150
0.025,0.002,0.046,1.198
0.026,0.002,0.119,1.246
0.027,0.002,0.113,1.293
0.028,0.003,0.108,1.341
0.029,0.003,0.102,1.389
0.030,0.003,0.098,1.437
0.031,0.003,0.093,1.484
0.032,0.003,0.088,1.532
0.033,0.004,0.159,1.579
0.034,0.004,0.151,1.627
0.035,0.004,0.144,1.675
0.036,0.004,0.137,1.722
0.037,0.004,0.131,1.770
0.038,0.005,0.125,1.817
0.039,0.005,0.119,1.864
0.040,0.005,0.188,1.912
0.041,0.006,0.179,1.959
0.042,0.006,0.170,2.007
0.043,0.006,0.237,2.054
0.044,0.007,0.226,2.101
0.045,0.007,0.215,2.148
0.046,0.008,0.280,2.196
0.047,0.008,0.266,2.243
0.048,0.009,0.254,2.290
0.049,0.009,0.242,2.337
0.050,0.010,0.305,2.384
0.051,0.010,0.290,2.431
0.052,0.010,0.276,2.478
0.053,0.011,0.338,2.525
0.054,0.012,0.322,2.572
0.055,0.012,0.381,2.619
0.056,0.013,0.363,2.666
0.057,0.014,0.421,2.712
0.058,0.015,0.401,2.759
0.059,0.015,0.382,2.806
0.060,0.016,0.438,2.852
0.061,0.016,0.417,2.899
0.062,0.017,0.472,2.946
0.063,0.018,0.450,2.992
0.064,0.019,0.503,3.039
0.065,0.020,0.554,3.085
0.066,0.020,0.528,3.131
0.067,0.022,0.577,3.178
0.068,0.022,0.550,3.224
0.069,0.023,0.598,3.270
0.070,0.024,0.645,3.316
0.071,0.025,0.614,3.362
0.072,0.026,0.660,3.408
0.073,0.027,0.703,3.454
0.074,0.029,0.744,3.500
0.075,0.030,0.709,3.546
0.076,0.031,0.750,3.592
0.077,0.032,0.789,3.638
0.078,0.033,0.826,3.684
0.079,0.035,0.862,3.729
0.080,0.036,0.895,3.775
0.081,0.038,0.928,3.820
0.082,0.039,0.883,3.866
0.083,0.040,0.916,3.911
0.084,0.041,0.947,3.957
0.085,0.043,1.052,4.002
0.086,0.045,1.077,4.047
0.087,0.047,1.100,4.092
0.088,0.048,1.123,4.137
0.089,0.050,1.144,4.182
0.090,0.052,1.164,4.227
0.091,0.053,1.184,4.272
0.092,0.055,1.202,4.317
0.093,0.057,1.220,4.362
0.094,0.058,1.236,4.406
0.095,0.060,1.327,4.451
0.096,0.062,1.339,4.496
0.097,0.064,1.350,4.540
0.098,0.066,1.435,4.584
0.099,0.068,1.441,4.629
0.100,0.070,1.448,4.673
0.101,0.072,1.453,4.717
0.102,0.074,1.534,4.761
0.103,0.076,1.536,4.805
0.104,0.078,1.612,4.849
0.105,0.081,1.685,4.893
0.106,0.083,1.680,4.937
0.107,0.086,1.749,4.981
0.108,0.088,1.741,5.024
0.109,0.091,1.807,5.068
0.110,0.093,1.796,5.111
0.111,0.095,1.860,5.155
0.112,0.098,1.921,5.198
0.113,0.101,1.904,5.241
0.114,0.103,1.963,5.284
0.115,0.106,2.020,5.327
0.116,0.109,2.073,5.370
0.117,0.112,2.124,5.413
0.118,0.114,2.097,5.456
0.119,0.117,2.147,5.499
0.120,0.120,2.195,5.541
0.121,0.123,2.240,5.584
0.122,0.126,2.283,5.626
0.123,0.129,2.324,5.669
0.124,0.132,2.362,5.711
0.125,0.135,2.400,5.753
0.126,0.138,2.435,5.795
0.127,0.141,2.469,5.837
0.128,0.145,2.501,5.879
0.129,0.148,2.606,5.921
0.130,0.152,2.631,5.963
0.131,0.155,2.656,6.004
0.132,0.158,2.679,6.046
0.133,0.162,2.701,6.087
0.134,0.165,2.797,6.128
0.135,0.169,2.813,6.170
0.136,0.173,2.904,6.211
0.137,0.176,2.915,6.252
0.138,0.180,3.000,6.293
0.139,0.184,3.007,6.334
0.140,0.188,3.014,6.374
0.141,0.192,3.094,6.415
0.142,0.196,3.172,6.455
0.143,0.200,3.170,6.496
0.144,0.204,3.244,6.536
0.145,0.208,3.313,6.576
0.146,0.212,3.305,6.616
0.147,0.216,3.372,6.656
0.148,0.221,3.436,6.696
0.149,0.225,3.497,6.736
0.150,0.229,3.480,6.776
0.151,0.233,3.539,6.815
0.152,0.238,3.595,6.855
0.153,0.242,3.648,6.894
0.154,0.247,3.698,6.933
0.155,0.252,3.747,6.972
0.156,0.256,3.793,7.011
0.157,0.261,3.837,7.050
0.158,0.266,3.878,7.089
0.159,0.270,3.918,7.128
0.160,0.275,3.956,7.166
0.161,0.280,3.992,7.205
0.162,0.284,4.026,7.243
0.163,0.290,4.134,7.281
0.164,0.295,4.161,7.319
0.165,0.300,4.187,7.357
0.166,0.305,4.287,7.395
0.167,0.310,4.307,7.433
0.168,0.316,4.402,7.471
0.169,0.321,4.416,7.508
0.170,0.326,4.430,7.546
0.171,0.331,4.519,7.583
0.172,0.337,4.528,7.620
0.173,0.342,4.611,7.657
0.174,0.348,4.616,7.694
0.175,0.353,4.696,7.731
0.176,0.359,4.771,7.767
0.177,0.364,4.768,7.804
0.178,0.370,4.841,7.840
0.179,0.376,4.909,7.876
0.180,0.382,4.975,7.913
0.181,0.388,5.037,7.949
0.182,0.394,5.022,7.985
0.183,0.400,5.082,8.020
0.184,0.406,5.139,8.056
0.185,0.412,5.193,8.091
0.186,0.418,5.245,8.127
0.187,0.424,5.295,8.162
0.188,0.431,5.342,8.197
0.189,0.437,5.387,8.232
0.190,0.443,5.429,8.267
0.191,0.449,5.470,8.302
0.192,0.456,5.509,8.336
0.193,0.462,5.546,8.371
0.194,0.469,5.655,8.405
0.195,0.475,5.685,8.439
0.196,0.482,5.714,8.473
0.197,0.488,5.741,8.507
0.198,0.495,5.842,8.541
0.199,0.502,5.863,8.575
0.200,0.509,5.957,8.608
0.201,0.516,5.973,8.642
0.202,0.522,5.988,8.675
0.203,0.529,6.077,8.708
0.204,0.536,6.086,8.741
0.205,0.543,6.171,8.774
0.206,0.550,6.176,8.806
0.207,0.557,6.256,8.839
0.208,0.565,6.332,8.871
0.209,0.572,6.404,8.904
0.210,0.579,6.399,8.936
0.211,0.587,6.468,8.968
0.212,0.594,6.459,9.000
0.213,0.601,6.526,9.031
0.214,0.609,6.589,9.063
0.215,0.616,6.649,9.094
0.216,0.624,6.706,9.125
0.217,0.631,6.686,9.156
0.218,0.639,6.742,9.187
0.219,0.646,6.795,9.218
0.220,0.654,6.845,9.249
0.221,0.662,6.893,9.279
0.222,0.669,6.939,9.310
0.223,0.677,6.983,9.340
0.224,0.685,7.024,9.370
0.225,0.693,7.064,9.400
0.226,0.701,7.101,9.430
0.227,0.709,7.212,9.459
0.228,0.717,7.243,9.489
0.229,0.725,7.272,9.518
0.230,0.733,7.299,9.547
0.231,0.741,7.326,9.576
0.232,0.749,7.351,9.605
0.233,0.758,7.450,9.634
0.234,0.766,7.469,9.662
0.235,0.774,7.487,9.691
0.236,0.782,7.580,9.719
0.237,0.791,7.593,9.747
0.238,0.799,7.605,9.775
0.239,0.808,7.692,9.803
0.240,0.816,7.699,9.830
0.241,0.824,7.707,9.858
0.242,0.833,7.789,9.885
0.243,0.841,7.792,9.912
0.244,0.850,7.869,9.939
0.245,0.858,7.869,9.966
0.246,0.867,7.943,9.993
0.247,0.875,7.939,10.019
0.248,0.884,8.009,10.045
0.249,0.893,8.077,10.072
0.250,0.902,8.066,10.098
0.251,0.911,8.131,10.124
0.252,0.919,8.118,10.149
0.253,0.928,8.180,10.175
0.254,0.937,8.239,10.200
0.255,0.946,8.221,10.225
0.256,0.955,8.278,10.250
0.257,0.964,8.333,10.275
0.258,0.973,8.385,10.300
0.259,0.982,8.360,10.324
0.260,0.991,8.410,10.349
0.261,1.000,8.459,10.373
0.262,1.009,8.505,10.397
0.263,1.018,8.474,10.421
0.264,1.027,8.519,10.445
0.265,1.036,8.562,10.468
0.266,1.045,8.603,10.492
0.267,1.054,8.642,10.515
0.268,1.064,8.680,10.538
0.269,1.073,8.715,10.561
0.270,1.082,8.749,10.583
0.271,1.092,8.781,10.606
0.272,1.101,8.737,10.628
0.273,1.110,8.770,10.651
0.274,1.119,8.801,10.673
0.275,1.128,8.831,10.694
0.276,1.137,8.859,10.716
0.277,1.147,8.886,10.738
0.278,1.156,8.911,10.759
0.279,1.166,8.936,10.780
0.280,1.175,8.959,10.801
